SCI;NO;EN
Todiramphus chloris;jadeisfugl;Collared Kingfisher
Todiramphus sordidus;nefrittisfugl;Torresian Kingfisher
Todiramphus colonus;louisiadeisfugl;Islet Kingfisher
Todiramphus albicilla;marianeisfugl;Mariana Kingfisher
Todiramphus tristrami;melanesiaisfugl;Melanesian Kingfisher
Todiramphus sacer;stillehavsisfugl;Pacific Kingfisher
Todiramphus enigma;talaudisfugl;Talaud Kingfisher
Todiramphus cinnamominus;guamisfugl;Guam Kingfisher
Todiramphus pelewensis;palauisfugl;Rusty-capped Kingfisher
Todiramphus reichenbachii;pohnpeiisfugl;Pohnpei Kingfisher
Todiramphus saurophagus;strandisfugl;Beach Kingfisher
Todiramphus sanctus;maskaraisfugl;Sacred Kingfisher
Todiramphus recurvirostris;samoaisfugl;Flat-billed Kingfisher
Todiramphus australasia;kanelisfugl;Cinnamon-banded Kingfisher
Todiramphus tutus;skratteisfugl;Chattering Kingfisher
Todiramphus ruficollaris;mangaiaisfugl;Mewing Kingfisher
Todiramphus veneratus;tahitiisfugl;Society Kingfisher
Todiramphus gambieri;tuamotuisfugl;Mangareva Kingfisher
Todiramphus gertrudae;niauisfugl;Niau Kingfisher
Todiramphus godeffroyi;marquesasisfugl;Marquesan Kingfisher
Todiramphus pyrrhopygius;rustgumpisfugl;Red-backed Kingfisher
Syma torotoro;torotoroisfugl;Yellow-billed Kingfisher
Syma megarhyncha;najadeisfugl;Mountain Kingfisher
Ispidina lecontei;knøttisfugl;African Dwarf Kingfisher
Ispidina picta;pygméisfugl;African Pygmy Kingfisher
Corythornis madagascariensis;gasserisfugl;Madagascar Pygmy Kingfisher
Corythornis leucogaster;jungelisfugl;White-bellied Kingfisher
Corythornis cristatus;tiaraisfugl;Malachite Kingfisher
Corythornis vintsioides;madagaskarisfugl;Malagasy Kingfisher
Alcedo coerulescens;akvamarinisfugl;Cerulean Kingfisher
Alcedo peninsulae;blåbrynjeisfugl;Malaysian Blue-banded Kingfisher
Alcedo euryzona;blåkjedeisfugl;Javan Blue-banded Kingfisher
Alcedo quadribrachys;indigoisfugl;Shining-blue Kingfisher
Alcedo meninting;lakmusisfugl;Blue-eared Kingfisher
Alcedo atthis;isfugl;Common Kingfisher
Alcedo semitorquata;koboltisfugl;Half-collared Kingfisher
Alcedo hercules;herkulesisfugl;Blyth's Kingfisher
Ceyx erithaca;orientisfugl;Black-backed Dwarf Kingfisher
Ceyx rufidorsa;rødryggisfugl;Rufous-backed Dwarf Kingfisher
Ceyx melanurus;rosenisfugl;Philippine Dwarf Kingfisher
Ceyx sangirensis;sangiheisfugl;Sangihe Dwarf Kingfisher
Ceyx fallax;sulawesiisfugl;Sulawesi Dwarf Kingfisher
Ceyx lepidus;opalisfugl;Moluccan Dwarf Kingfisher
Ceyx margarethae;filippinerisfugl;Dimorphic Dwarf Kingfisher
Ceyx wallacii;sulaisfugl;Sula Dwarf Kingfisher
Ceyx cajeli;buruisfugl;Buru Dwarf Kingfisher
Ceyx solitarius;nyguineaisfugl;Papuan Dwarf Kingfisher
Ceyx dispar;manusisfugl;Manus Dwarf Kingfisher
Ceyx mulcatus;niuailanisfugl;New Ireland Dwarf Kingfisher
Ceyx sacerdotis;niubritenisfugl;New Britain Dwarf Kingfisher
Ceyx meeki;isabelisfugl;North Solomons Dwarf Kingfisher
Ceyx collectoris;nygeorgiaisfugl;New Georgia Dwarf Kingfisher
Ceyx nigromaxilla;guadalcanalisfugl;Guadalcanal Dwarf Kingfisher
Ceyx gentianus;makiraisfugl;Makira Dwarf Kingfisher
Ceyx cyanopectus;safirisfugl;Indigo-banded Kingfisher
Ceyx argentatus;sølvisfugl;Southern Silvery Kingfisher
Ceyx flumenicola;kremstrupeisfugl;Northern Silvery Kingfisher
Ceyx azureus;asurisfugl;Azure Kingfisher
Ceyx websteri;bismarckisfugl;Bismarck Kingfisher
Ceyx pusillus;alveisfugl;Little Kingfisher
Chloroceryle amazona;amazonisfugl;Amazon Kingfisher
Chloroceryle aenea;bronseisfugl;American Pygmy Kingfisher
Chloroceryle americana;grønnisfugl;Green Kingfisher
Chloroceryle inda;olivenisfugl;Green-and-rufous Kingfisher
Megaceryle lugubris;kaskadeisfugl;Crested Kingfisher
Megaceryle maxima;kjempeisfugl;Giant Kingfisher
Megaceryle torquata;ringisfugl;Ringed Kingfisher
Megaceryle alcyon;belteisfugl;Belted Kingfisher
Ceryle rudis;terneisfugl;Pied Kingfisher
Todus multicolor;kubatodi;Cuban Tody
Todus subulatus;brednebbtodi;Broad-billed Tody
Todus angustirostris;smalnebbtodi;Narrow-billed Tody
Todus todus;jamaicatodi;Jamaican Tody
Todus mexicanus;gulsidetodi;Puerto Rican Tody
Hylomanes momotula;dvergmotmot;Tody Motmot
Aspatha gularis;blåstrupemotmot;Blue-throated Motmot
Momotus mexicanus;mexicomotmot;Russet-crowned Motmot
Momotus coeruliceps;blåkronemotmot;Blue-capped Motmot
Momotus lessonii;diademmotmot;Lesson's Motmot
Momotus subrufescens;karamellmotmot;Whooping Motmot
Momotus bahamensis;trinidadmotmot;Trinidad Motmot
Momotus momota;blåpannemotmot;Amazonian Motmot
Momotus aequatorialis;bergmotmot;Andean Motmot
Baryphthengus martii;kanelmotmot;Rufous Motmot
Baryphthengus ruficapillus;brunkronemotmot;Rufous-capped Motmot
Electron carinatum;brunpannemotmot;Keel-billed Motmot
Electron platyrhynchum;brednebbmotmot;Broad-billed Motmot
Eumomota superciliosa;turkisbrynmotmot;Turquoise-browed Motmot
Nyctyornis amictus;rødskjeggbieter;Red-bearded Bee-eater
Nyctyornis athertoni;blåskjeggbieter;Blue-bearded Bee-eater
Meropogon forsteni;purpurbieter;Purple-bearded Bee-eater
Merops breweri;svarthodebieter;Black-headed Bee-eater
Merops muelleri;brunryggbieter;Blue-headed Bee-eater
Merops mentalis;lazulibieter;Blue-moustached Bee-eater
Merops gularis;svartbieter;Black Bee-eater
Merops hirundineus;svalebieter;Swallow-tailed Bee-eater
Merops pusillus;dvergbieter;Little Bee-eater
Merops variegatus;blåbrystbieter;Blue-breasted Bee-eater
Merops lafresnayii;blåpannebieter;Ethiopian Bee-eater
Merops oreobates;bergbieter;Cinnamon-chested Bee-eater
Merops bulocki;rødstrupebieter;Red-throated Bee-eater
Merops bullockoides;hvitpannebieter;White-fronted Bee-eater
Merops revoilii;somalibieter;Somali Bee-eater
Merops albicollis;sebrabieter;White-throated Bee-eater
Merops boehmi;brunhodebieter;Böhm's Bee-eater
Merops viridissimus;olivinbieter;African Green Bee-eater
Merops cyanophrys;safirbieter;Arabian Green Bee-eater
Merops orientalis;beryllbieter;Asian Green Bee-eater
Merops persicus;blåkinnbieter;Blue-cheeked Bee-eater
Merops superciliosus;olivenbieter;Olive Bee-eater
Merops philippinus;blåhalebieter;Blue-tailed Bee-eater
Merops ornatus;regnbuebieter;Rainbow Bee-eater
Merops viridis;jadebieter;Blue-throated Bee-eater
Merops americanus;rustkronebieter;Rufous-crowned Bee-eater
Merops leschenaulti;bengalbieter;Chestnut-headed Bee-eater
Merops apiaster;bieter;European Bee-eater
Merops malimbicus;rosenbieter;Rosy Bee-eater
Merops nubicus;karminbieter;Northern Carmine Bee-eater
Merops nubicoides;sinoberbieter;Southern Carmine Bee-eater
Galbalcyrhynchus leucotis;hvitørejakamar;White-eared Jacamar
Galbalcyrhynchus purusianus;kastanjejakamar;Purus Jacamar
Brachygalba salmoni;mørkryggjakamar;Dusky-backed Jacamar
Brachygalba goeringi;blekhodejakamar;Pale-headed Jacamar
Brachygalba lugubris;brunjakamar;Brown Jacamar
Brachygalba albogularis;hvitmaskejakamar;White-throated Jacamar
Jacamaralcyon tridactyla;tretåjakamar;Three-toed Jacamar
Galbula albirostris;gulnebbjakamar;Yellow-billed Jacamar
Galbula cyanicollis;blånakkejakamar;Blue-necked Jacamar
Galbula ruficauda;rusthalejakamar;Rufous-tailed Jacamar
Galbula galbula;grønnhalejakamar;Green-tailed Jacamar
Galbula pastazae;kobberjakamar;Coppery-chested Jacamar
Galbula tombacea;hvithakejakamar;White-chinned Jacamar
Galbula cyanescens;blåpannejakamar;Bluish-fronted Jacamar
Galbula chalcothorax;purpurjakamar;Purplish Jacamar
Galbula leucogastra;bronsejakamar;Bronzy Jacamar
Galbula dea;paradisjakamar;Paradise Jacamar
Jacamerops aureus;storjakamar;Great Jacamar
Notharchus hyperrhynchus;hvitpannedovenfugl;White-necked Puffbird
Notharchus macrorhynchos;guyanadovenfugl;Guianan Puffbird
Notharchus swainsoni;rustbukdovenfugl;Buff-bellied Puffbird
Notharchus pectoralis;svartbrystdovenfugl;Black-breasted Puffbird
Notharchus ordii;brunbeltedovenfugl;Brown-banded Puffbird
Notharchus tectus;perledovenfugl;Pied Puffbird
Bucco macrodactylus;brunkronedovenfugl;Chestnut-capped Puffbird
Bucco tamatia;tamatiadovenfugl;Spotted Puffbird
Bucco noanamae;gråkinndovenfugl;Sooty-capped Puffbird
Bucco capensis;rusthodedovenfugl;Collared Puffbird
Nystalus radiatus;skjelldovenfugl;Barred Puffbird
Nystalus chacuru;hvitøredovenfugl;White-eared Puffbird
Nystalus striolatus;stripedovenfugl;Eastern Striolated Puffbird
Nystalus obamai;terrafirmedovenfugl;Western Striolated Puffbird
Nystalus maculatus;flekkdovenfugl;Caatinga Puffbird
Nystalus striatipectus;dråpedovenfugl;Chaco Puffbird
Hypnelus ruficollis;ruststrupedovenfugl;Russet-throated Puffbird
Hypnelus bicinctus;tobeltedovenfugl;Two-banded Puffbird
Malacoptila striata;halvmånedovenfugl;Crescent-chested Puffbird
Malacoptila fusca;oransjenebbdovenfugl;White-chested Puffbird
Malacoptila semicincta;rustnakkedovenfugl;Semicollared Puffbird
Malacoptila fulvogularis;mørkdovenfugl;Black-streaked Puffbird
Malacoptila rufa;rustkragedovenfugl;Rufous-necked Puffbird
Malacoptila panamensis;hvitskjeggdovenfugl;White-whiskered Puffbird
Malacoptila mystacalis;mustasjedovenfugl;Moustached Puffbird
Micromonacha lanceolata;munkedovenfugl;Lanceolated Monklet
Nonnula rubecula;rødbrystnovise;Rusty-breasted Nunlet
Nonnula sclateri;brunkinnovise;Fulvous-chinned Nunlet
Nonnula brunnea;brunnovise;Brown Nunlet
Nonnula frontalis;gråkinnovise;Grey-cheeked Nunlet
Nonnula ruficapilla;rustkronenovise;Rufous-capped Nunlet
Nonnula amaurocephala;nøttehodenovise;Chestnut-headed Nunlet
Hapaloptila castanea;priorinnefugl;White-faced Nunbird
Monasa atra;svartklarisse;Black Nunbird
Monasa nigrifrons;sotklarisse;Black-fronted Nunbird
Monasa morphoeus;hvitpanneklarisse;White-fronted Nunbird
Monasa flavirostris;gulnebbklarisse;Yellow-billed Nunbird
Chelidoptera tenebrosa;svaledovenfugl;Swallow-winged Puffbird
Capito aurovirens;gullbrystskjeggfugl;Scarlet-crowned Barbet
Capito wallacei;rødbelteskjeggfugl;Scarlet-banded Barbet
Capito fitzpatricki;rødflankeskjeggfugl;Sira Barbet
Capito maculicoronatus;flekkroneskjeggfugl;Spot-crowned Barbet
Capito squamatus;ildpanneskjeggfugl;Orange-fronted Barbet
Capito hypoleucus;hvitryggskjeggfugl;White-mantled Barbet
Capito dayi;amazonskjeggfugl;Black-girdled Barbet
Capito brunneipectus;brunbrystskjeggfugl;Brown-chested Barbet
Capito niger;auroraskjeggfugl;Black-spotted Barbet
Capito auratus;gyllenpanneskjeggfugl;Gilded Barbet
Capito quinticolor;femfargeskjeggfugl;Five-colored Barbet
Eubucco richardsoni;sitronstrupeskjeggfugl;Lemon-throated Barbet
Eubucco bourcierii;rødhodeskjeggfugl;Red-headed Barbet
Eubucco tucinkae;inkaskjeggfugl;Scarlet-hooded Barbet
Eubucco versicolor;flerfargeskjeggfugl;Versicolored Barbet
Semnornis frantzii;klonebbskjeggfugl;Prong-billed Barbet
Semnornis ramphastinus;tukanskjeggfugl;Toucan Barbet
Aulacorhynchus wagleri;gulpannetukan;Wagler's Toucanet
Aulacorhynchus prasinus;smaragdtukan;Emerald Toucanet
Aulacorhynchus caeruleogularis;blåstrupetukan;Blue-throated Toucanet
Aulacorhynchus albivitta;andestukan;White-throated Toucanet
Aulacorhynchus atrogularis;svartstrupetukan;Black-throated Toucanet
Aulacorhynchus sulcatus;furenebbtukan;Groove-billed Toucanet
Aulacorhynchus derbianus;bruntipptukan;Chestnut-tipped Toucanet
Aulacorhynchus whitelianus;tepuitukan;Tepui Toucanet
Aulacorhynchus haematopygus;rødgumptukan;Crimson-rumped Toucanet
Aulacorhynchus huallagae;gulbryntukan;Yellow-browed Toucanet
Aulacorhynchus coeruleicinctis;blåbåndtukan;Blue-banded Toucanet
Pteroglossus viridis;gulbuktukan;Green Aracari
Pteroglossus inscriptus;skrifttukan;Lettered Aracari
Pteroglossus bitorquatus;rødbrysttukan;Red-necked Aracari
Pteroglossus azara;elfenbeinstukan;Ivory-billed Aracari
Pteroglossus mariae;brunnebbtukan;Brown-mandibled Aracari
Pteroglossus aracari;rødbeltetukan;Black-necked Aracari
Pteroglossus castanotis;brunkinntukan;Chestnut-eared Aracari
Pteroglossus pluricinctus;tobeltetukan;Many-banded Aracari
Pteroglossus torquatus;svartbeltetukan;Collared Aracari
Pteroglossus sanguineus;marmornebbtukan;Stripe-billed Aracari
Pteroglossus erythropygius;bleknebbtukan;Pale-mandibled Aracari
Pteroglossus frantzii;ildnebbtukan;Fiery-billed Aracari
Pteroglossus beauharnaisii;krølltukan;Curl-crested Aracari
Pteroglossus bailloni;safrantukan;Saffron Toucanet
Selenidera spectabilis;brilletukan;Yellow-eared Toucanet
Selenidera piperivora;guyanatukan;Guianan Toucanet
Selenidera reinwardtii;rødnebbtukan;Golden-collared Toucanet
Selenidera nattereri;palettukan;Tawny-tufted Toucanet
Selenidera gouldii;selenetukan;Gould's Toucanet
Selenidera maculirostris;flekknebbtukan;Spot-billed Toucanet
Andigena hypoglauca;lavendeltukan;Grey-breasted Mountain Toucan
Andigena laminirostris;platenebbtukan;Plate-billed Mountain Toucan
Andigena cucullata;hettetukan;Hooded Mountain Toucan
Andigena nigrirostris;svartnebbtukan;Black-billed Mountain Toucan
Ramphastos dicolorus;rødbuktukan;Red-breasted Toucan
Ramphastos vitellinus;tupinambatukan;Channel-billed Toucan
Ramphastos citreolaemus;sitronstrupetukan;Citron-throated Toucan
Ramphastos brevis;chocotukan;Choco Toucan
Ramphastos sulfuratus;regnbuetukan;Keel-billed Toucan
Ramphastos toco;tocotukan;Toco Toucan
Ramphastos tucanus;vinnebbtukan;White-throated Toucan
Ramphastos ambiguus;gulnebbtukan;Yellow-throated Toucan
Psilopogon pyrolophus;rødbustskjeggfugl;Fire-tufted Barbet
Psilopogon virens;himalayaskjeggfugl;Great Barbet
Psilopogon lagrandieri;rødgumpskjeggfugl;Red-vented Barbet
Psilopogon zeylanicus;brunhodeskjeggfugl;Brown-headed Barbet
Psilopogon lineatus;stripeskjeggfugl;Lineated Barbet
Psilopogon viridis;hvitkinnskjeggfugl;White-cheeked Barbet
Psilopogon faiostrictus;grønnkinnskjeggfugl;Green-eared Barbet
Psilopogon corvinus;brunstrupeskjeggfugl;Brown-throated Barbet
Psilopogon chrysopogon;gullkinnskjeggfugl;Golden-whiskered Barbet
Psilopogon rafflesii;rødkroneskjeggfugl;Red-crowned Barbet
Psilopogon mystacophanos;rødstrupeskjeggfugl;Red-throated Barbet
Psilopogon javensis;båndskjeggfugl;Black-banded Barbet
Psilopogon flavifrons;gulpanneskjeggfugl;Yellow-fronted Barbet
Psilopogon franklinii;gulstrupeskjeggfugl;Golden-throated Barbet
Psilopogon auricularis;smykkeskjeggfugl;Necklaced Barbet
Psilopogon oorti;svartbrynskjeggfugl;Black-browed Barbet
Psilopogon annamensis;annamskjeggfugl;Indochinese Barbet
Psilopogon faber;svartkroneskjeggfugl;Chinese Barbet
Psilopogon nuchalis;taiwanskjeggfugl;Taiwan Barbet
Psilopogon asiaticus;blåstrupeskjeggfugl;Blue-throated Barbet
Psilopogon chersonesus;turkisstrupeskjeggfugl;Turquoise-throated Barbet
Psilopogon monticola;bergskjeggfugl;Mountain Barbet
Psilopogon incognitus;blåkinnskjeggfugl;Moustached Barbet
Psilopogon henricii;gulbrynskjeggfugl;Yellow-crowned Barbet
Psilopogon armillaris;armillaskjeggfugl;Flame-fronted Barbet
Psilopogon pulcherrimus;gullnakkeskjeggfugl;Golden-naped Barbet
Psilopogon australis;småskjeggfugl;Yellow-eared Barbet
Psilopogon cyanotis;blåøreskjeggfugl;Blue-eared Barbet
Psilopogon duvaucelii;svartøreskjeggfugl;Black-eared Barbet
Psilopogon eximius;fagerskjeggfugl;Bornean Barbet
Psilopogon rubricapillus;flammeskjeggfugl;Crimson-fronted Barbet
Psilopogon malabaricus;malabarskjeggfugl;Malabar Barbet
Psilopogon haemacephalus;smedskjeggfugl;Coppersmith Barbet
Caloramphus fuliginosus;brunskjeggfugl;Brown Barbet
Caloramphus hayii;sotskjeggfugl;Sooty Barbet
Trachyphonus goffinii;guineaperleskjeggfugl;Western Yellow-billed Barbet
Trachyphonus purpuratus;praktperleskjeggfugl;Eastern Yellow-billed Barbet
Trachyphonus vaillantii;topperleskjeggfugl;Crested Barbet
Trachyphonus erythrocephalus;termittperleskjeggfugl;Red-and-yellow Barbet
Trachyphonus margaritatus;sahelperleskjeggfugl;Yellow-breasted Barbet
Trachyphonus darnaudii;småperleskjeggfugl;D'Arnaud's Barbet
Trachyphonus usambiro;masaiperleskjeggfugl;Usambiro Barbet
Cryptolybia olivacea;olivenskjeggfugl;Green Barbet
Gymnobucco bonapartei;gråstrupeskjeggfugl;Grey-throated Barbet
Gymnobucco sladeni;kongoskjeggfugl;Sladen's Barbet
Gymnobucco peli;børsteskjeggfugl;Bristle-nosed Barbet
Gymnobucco calvus;nakenhodeskjeggfugl;Naked-faced Barbet
Stactolaema leucotis;hvitbrynskjeggfugl;White-eared Barbet
Stactolaema whytii;hvitvingeskjeggfugl;Whyte's Barbet
Stactolaema anchietae;gulmaskeskjeggfugl;Anchieta's Barbet
Pogoniulus scolopaceus;fregnekobberslager;Speckled Tinkerbird
Pogoniulus simplex;grønnkobberslager;Green Tinkerbird
Pogoniulus leucomystax;skjeggkobberslager;Moustached Tinkerbird
Pogoniulus coryphaea;gulnakkekobberslager;Western Tinkerbird
Pogoniulus atroflavus;rødgumpkobberslager;Red-rumped Tinkerbird
Pogoniulus subsulphureus;gulstrupekobberslager;Yellow-throated Tinkerbird
Pogoniulus bilineatus;gulgumpkobberslager;Yellow-rumped Tinkerbird
Pogoniulus uropygialis;gulbrynkobberslager;Northern Red-fronted Tinkerbird
Pogoniulus pusillus;rødpannekobberslager;Southern Red-fronted Tinkerbird
Pogoniulus chrysoconus;gullpannekobberslager;Yellow-fronted Tinkerbird
Buccanodon duchaillui;skjellskjeggfugl;Yellow-spotted Barbet
Tricholaema hirsuta;hårbrystskjeggfugl;Hairy-breasted Barbet
Tricholaema diademata;diademskjeggfugl;Red-fronted Barbet
Tricholaema frontata;miomboskjeggfugl;Miombo Pied Barbet
Tricholaema leucomelas;akasieskjeggfugl;Acacia Pied Barbet
Tricholaema lacrymosa;flekkskjeggfugl;Spot-flanked Barbet
Tricholaema melanocephala;krattskjeggfugl;Black-throated Barbet
Lybius undatus;bølgeskjeggfugl;Banded Barbet
Lybius vieilloti;bloddråpeskjeggfugl;Vieillot's Barbet
Lybius leucocephalus;hvithodeskjeggfugl;White-headed Barbet
Lybius chaplini;fregneskjeggfugl;Chaplin's Barbet
Lybius rubrifacies;rødmeskjeggfugl;Red-faced Barbet
Lybius guifsobalito;svartnebbskjeggfugl;Black-billed Barbet
Lybius torquatus;krageskjeggfugl;Black-collared Barbet
Pogonornis melanopterus;brunbelteskjeggfugl;Brown-breasted Barbet
Pogonornis minor;oransjebukskjeggfugl;Black-backed Barbet
Pogonornis bidentatus;totannskjeggfugl;Double-toothed Barbet
Pogonornis dubius;svartbelteskjeggfugl;Bearded Barbet
Pogonornis rolleti;trikolorskjeggfugl;Black-breasted Barbet
Prodotiscus insignis;sotsnyltefugl;Cassin's Honeybird
Prodotiscus zambesiae;alvesnyltefugl;Green-backed Honeybird
Prodotiscus regulus;bleksnyltefugl;Brown-backed Honeybird
Melignomon zenkeri;kongosnyltefugl;Zenker's Honeyguide
Melignomon eisentrauti;gulbeinsnyltefugl;Yellow-footed Honeyguide
Indicator pumilio;dvergvokseter;Dwarf Honeyguide
Indicator willcocksi;skyggevokseter;Willcocks's Honeyguide
Indicator meliphilus;blekvokseter;Pallid Honeyguide
Indicator exilis;skjeggvokseter;Least Honeyguide
Indicator minor;gråvokseter;Lesser Honeyguide
Indicator maculatus;flekkvokseter;Spotted Honeyguide
Indicator variegatus;skjellstrupevokseter;Scaly-throated Honeyguide
Indicator xanthonotus;gulgumpvokseter;Yellow-rumped Honeyguide
Indicator archipelagicus;gulskuldervokseter;Malaysian Honeyguide
Indicator indicator;honninglos;Greater Honeyguide
Melichneutes robustus;lyrevokseter;Lyre-tailed Honeyguide
Jynx torquilla;vendehals;Eurasian Wryneck
Jynx ruficollis;rustvendehals;Red-throated Wryneck
Picumnus innominatus;flekkpikulett;Speckled Piculet
Picumnus aurifrons;amazonpikulett;Bar-breasted Piculet
Picumnus lafresnayi;selvaspikulett;Lafresnaye's Piculet
Picumnus pumilus;orinocopikulett;Orinoco Piculet
Picumnus exilis;ildkronepikulett;Golden-spangled Piculet
Picumnus sclateri;krattpikulett;Ecuadorian Piculet
Picumnus squamulatus;skjellpikulett;Scaled Piculet
Picumnus spilogaster;hvitbukpikulett;White-bellied Piculet
Picumnus minutissimus;guyanapikulett;Arrowhead Piculet
Picumnus pygmaeus;perlepikulett;Spotted Piculet
Picumnus steindachneri;sjakkpikulett;Speckle-chested Piculet
Picumnus varzeae;varzeapikulett;Varzea Piculet
Picumnus cirratus;båndpikulett;White-barred Piculet
Picumnus dorbignyanus;pilspisspikulett;Ocellated Piculet
Picumnus temminckii;okernakkepikulett;Ochre-collared Piculet
Picumnus albosquamatus;kilepikulett;White-wedged Piculet
Picumnus fuscus;rusthalspikulett;Rusty-necked Piculet
Picumnus rufiventris;rustpikulett;Rufous-breasted Piculet
Picumnus limae;brunkinnpikulett;Ochraceous Piculet
Picumnus nebulosus;brunbrystpikulett;Mottled Piculet
Picumnus castelnau;mimosapikulett;Plain-breasted Piculet
Picumnus subtilis;ucayalipikulett;Fine-barred Piculet
Picumnus olivaceus;olivenpikulett;Olivaceous Piculet
Picumnus granadensis;colombiapikulett;Greyish Piculet
Picumnus cinnamomeus;kastanjepikulett;Chestnut Piculet
Verreauxia africana;afrikapikulett;African Piculet
Sasia abnormis;malaypikulett;Rufous Piculet
Sasia ochracea;hvitbrynpikulett;White-browed Piculet
Nesoctites micromegas;storpikulett;Antillean Piculet
Hemicircus concretus;rødtopphjertespett;Grey-and-buff Woodpecker
Hemicircus canente;svarttopphjertespett;Heart-spotted Woodpecker
Melanerpes candidus;hvitspett;White Woodpecker
Melanerpes lewis;fluesnapperspett;Lewis's Woodpecker
Melanerpes herminieri;guadeloupespett;Guadeloupe Woodpecker
